Data;Dia;Hora;BTN A;BTN B;BTN C;IP
17/set/2023;dom;07:30;0,0201705;0,0187267;0,0180350;0,0010088
17/set/2023;dom;07:45;0,0204972;0,0189419;0,0187296;0,0000003
17/set/2023;dom;08:00;0,0209845;0,0192077;0,0195752;0,0000003
17/set/2023;dom;08:15;0,0214743;0,0195768;0,0204517;0,0000003
17/set/2023;dom;08:30;0,0220038;0,0200769;0,0215164;0,0000003
17/set/2023;dom;08:45;0,0225489;0,0208095;0,0225746;0,0000003
17/set/2023;dom;09:00;0,0232372;0,0217380;0,0237733;0,0000003
17/set/2023;dom;09:15;0,0239746;0,0227159;0,0249343;0,0000003
17/set/2023;dom;09:30;0,0246516;0,0236380;0,0261034;0,0000003
17/set/2023;dom;09:45;0,0252645;0,0245823;0,0269654;0,0000003
17/set/2023;dom;10:00;0,0258941;0,0254969;0,0277382;0,0000003
17/set/2023;dom;10:15;0,0265063;0,0262680;0,0284427;0,0000003
17/set/2023;dom;10:30;0,0269998;0,0269027;0,0291040;0,0000003
17/set/2023;dom;10:45;0,0273491;0,0273999;0,0297109;0,0000003
17/set/2023;dom;11:00;0,0276284;0,0278778;0,0302169;0,0000003
17/set/2023;dom;11:15;0,0279512;0,0282130;0,0308442;0,0000003
17/set/2023;dom;11:30;0,0282227;0,0284433;0,0315788;0,0000003
17/set/2023;dom;11:45;0,0284699;0,0286518;0,0323479;0,0000003
17/set/2023;dom;12:00;0,0286318;0,0291517;0,0330528;0,0000003
17/set/2023;dom;12:15;0,0287816;0,0295219;0,0335253;0,0000003
17/set/2023;dom;12:30;0,0288108;0,0298275;0,0337676;0,0000003
17/set/2023;dom;12:45;0,0287506;0,0296518;0,0334439;0,0000003
17/set/2023;dom;13:00;0,0286174;0,0295128;0,0327521;0,0000003
17/set/2023;dom;13:15;0,0284922;0,0291734;0,0317479;0,0000003
17/set/2023;dom;13:30;0,0283550;0,0288552;0,0308009;0,0000003
17/set/2023;dom;13:45;0,0281887;0,0285397;0,0298139;0,0000003
17/set/2023;dom;14:00;0,0280366;0,0283529;0,0289870;0,0000003
17/set/2023;dom;14:15;0,0278531;0,0282994;0,0282627;0,0000003
